time,RIVER1,RIVER2,RIVER3,RIVER4
1.000000000000,-0.88511E-03,-0.71890E-03,-0.44029E-03,-0.11891E-02
2.000000000000,-6.9703,-13.903,-21.019,-18.803
3.000000000000,-0.20625,-0.41924,-0.86978,-1.7732
4.000000000000,-0.91767E-01,-0.16959,-0.28484,-0.57658
5.000000000000,-0.89192E-01,-0.16342,-0.25151,-0.32752
6.000000000000,-0.88514E-01,-0.16203,-0.24746,-0.26516
7.000000000000,-0.87882E-01,-0.16077,-0.24537,-0.24827
8.000000000000,-0.87264E-01,-0.15954,-0.24345,-0.24270
9.000000000000,-0.86659E-01,-0.15833,-0.24158,-0.23997
10.00000000000,-0.86067E-01,-0.15715,-0.23975,-0.23798
11.00000000000,-0.85487E-01,-0.15599,-0.23796,-0.23620
