 point             x              y          zone  nugget  sill           a         hanis     bearing
 K1_1             -100.000        100.000       1  0.0     1.0            406.066   1.0       0.0
 K1_2              200.000        100.000       1  0.0     1.0            331.066   1.0       0.0
 K1_3              500.000        100.000       1  0.0     1.0            331.066   1.0       0.0
 K1_4              800.000        100.000       1  0.0     1.0            331.066   1.0       0.0
 K1_5             1100.000        100.000       1  0.0     1.0            406.066   1.0       0.0
 K1_6             -100.000       -200.000       1  0.0     1.0            331.066   1.0       0.0
 K1_7              200.000       -200.000       1  0.0     1.0            300.000   1.0       0.0
 K1_8              500.000       -200.000       1  0.0     1.0            300.000   1.0       0.0
 K1_9              800.000       -200.000       1  0.0     1.0            300.000   1.0       0.0
 K1_10            1100.000       -200.000       1  0.0     1.0            331.066   1.0       0.0
 K1_11            -100.000       -500.000       1  0.0     1.0            331.066   1.0       0.0
 K1_12             200.000       -500.000       1  0.0     1.0            300.000   1.0       0.0
 K1_13             500.000       -500.000       1  0.0     1.0            300.000   1.0       0.0
 K1_14             800.000       -500.000       1  0.0     1.0            300.000   1.0       0.0
 K1_15            1100.000       -500.000       1  0.0     1.0            331.066   1.0       0.0
 K1_16            -100.000       -800.000       1  0.0     1.0            331.066   1.0       0.0
 K1_17             200.000       -800.000       1  0.0     1.0            300.000   1.0       0.0
 K1_18             500.000       -800.000       1  0.0     1.0            300.000   1.0       0.0
 K1_19             800.000       -800.000       1  0.0     1.0            300.000   1.0       0.0
 K1_20            1100.000       -800.000       1  0.0     1.0            331.066   1.0       0.0
 K1_21            -100.000      -1100.000       1  0.0     1.0            406.066   1.0       0.0
 K1_22             200.000      -1100.000       1  0.0     1.0            331.066   1.0       0.0
 K1_23             500.000      -1100.000       1  0.0     1.0            331.066   1.0       0.0
 K1_24             800.000      -1100.000       1  0.0     1.0            331.066   1.0       0.0
 K1_25            1100.000      -1100.000       1  0.0     1.0            406.066   1.0       0.0
