 point             x              y          zone  nugget  sill           a         hanis     bearing
 K3_1              -25.000         25.000       1  0.0     1.0            284.246   1.0       0.0
 K3_2              185.000         25.000       1  0.0     1.0            231.746   1.0       0.0
 K3_3              395.000         25.000       1  0.0     1.0            231.746   1.0       0.0
 K3_4              605.000         25.000       1  0.0     1.0            231.746   1.0       0.0
 K3_5              815.000         25.000       1  0.0     1.0            231.746   1.0       0.0
 K3_6             1025.000         25.000       1  0.0     1.0            284.246   1.0       0.0
 K3_7              -25.000       -185.000       1  0.0     1.0            253.492   1.0       0.0
 K3_8              185.000       -185.000       1  0.0     1.0            210.000   1.0       0.0
 K3_9              395.000       -185.000       1  0.0     1.0            210.000   1.0       0.0
 K3_10             605.000       -185.000       1  0.0     1.0            210.000   1.0       0.0
 K3_11             815.000       -185.000       1  0.0     1.0            210.000   1.0       0.0
 K3_12            1025.000       -185.000       1  0.0     1.0            231.746   1.0       0.0
 K3_13             185.000       -395.000       1  0.0     1.0            253.492   1.0       0.0
 K3_14             395.000       -395.000       1  0.0     1.0            210.000   1.0       0.0
 K3_15             605.000       -395.000       1  0.0     1.0            210.000   1.0       0.0
 K3_16             815.000       -395.000       1  0.0     1.0            210.000   1.0       0.0
 K3_17            1025.000       -395.000       1  0.0     1.0            231.746   1.0       0.0
 K3_18             395.000       -605.000       1  0.0     1.0            253.492   1.0       0.0
 K3_19             605.000       -605.000       1  0.0     1.0            210.000   1.0       0.0
 K3_20             815.000       -605.000       1  0.0     1.0            210.000   1.0       0.0
 K3_21            1025.000       -605.000       1  0.0     1.0            231.746   1.0       0.0
 K3_22             605.000       -815.000       1  0.0     1.0            253.492   1.0       0.0
 K3_23             815.000       -815.000       1  0.0     1.0            210.000   1.0       0.0
 K3_24            1025.000       -815.000       1  0.0     1.0            231.746   1.0       0.0
 K3_25             815.000      -1025.000       1  0.0     1.0            253.492   1.0       0.0
 K3_26            1025.000      -1025.000       1  0.0     1.0            284.246   1.0       0.0
