 point             x              y          zone  nugget  sill           a         hanis     bearing
 K229_1            -25.000         25.000       1  0.0     1.0            284.246   1.0       0.0
 K229_2            185.000         25.000       1  0.0     1.0            231.746   1.0       0.0
 K229_3            395.000         25.000       1  0.0     1.0            231.746   1.0       0.0
 K229_4            605.000         25.000       1  0.0     1.0            231.746   1.0       0.0
 K229_5            815.000         25.000       1  0.0     1.0            231.746   1.0       0.0
 K229_6           1025.000         25.000       1  0.0     1.0            284.246   1.0       0.0
 K229_7            -25.000       -185.000       1  0.0     1.0            253.492   1.0       0.0
 K229_8            185.000       -185.000       1  0.0     1.0            210.000   1.0       0.0
 K229_9            395.000       -185.000       1  0.0     1.0            210.000   1.0       0.0
 K229_10           605.000       -185.000       1  0.0     1.0            210.000   1.0       0.0
 K229_11           815.000       -185.000       1  0.0     1.0            210.000   1.0       0.0
 K229_12          1025.000       -185.000       1  0.0     1.0            231.746   1.0       0.0
 K229_13           185.000       -395.000       1  0.0     1.0            253.492   1.0       0.0
 K229_14           395.000       -395.000       1  0.0     1.0            210.000   1.0       0.0
 K229_15           605.000       -395.000       1  0.0     1.0            210.000   1.0       0.0
 K229_16           815.000       -395.000       1  0.0     1.0            210.000   1.0       0.0
 K229_17          1025.000       -395.000       1  0.0     1.0            231.746   1.0       0.0
 K229_18           395.000       -605.000       1  0.0     1.0            253.492   1.0       0.0
 K229_19           605.000       -605.000       1  0.0     1.0            210.000   1.0       0.0
 K229_20           815.000       -605.000       1  0.0     1.0            210.000   1.0       0.0
 K229_21          1025.000       -605.000       1  0.0     1.0            231.746   1.0       0.0
 K229_22           605.000       -815.000       1  0.0     1.0            253.492   1.0       0.0
 K229_23           815.000       -815.000       1  0.0     1.0            210.000   1.0       0.0
 K229_24          1025.000       -815.000       1  0.0     1.0            231.746   1.0       0.0
 K229_25           815.000      -1025.000       1  0.0     1.0            253.492   1.0       0.0
 K229_26          1025.000      -1025.000       1  0.0     1.0            284.246   1.0       0.0
