 point             x              y          zone  nugget  sill           a         hanis     bearing
 PMX1_1           1622.302       8525.879       1  0.0     1.0           1082.843   1.0       0.0
 PMX1_2           2422.302       8525.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_3           3222.302       8525.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_4           4022.302       8525.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_5           4822.302       8525.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_6           5622.302       8525.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_7           6422.302       8525.879       1  0.0     1.0           1082.843   1.0       0.0
 PMX1_8           1622.302       7725.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_9           2422.302       7725.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_10          3222.302       7725.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_11          4022.302       7725.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_12          4822.302       7725.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_13          5622.302       7725.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_14          6422.302       7725.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_15          1622.302       6925.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_16          2422.302       6925.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_17          3222.302       6925.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_18          4022.302       6925.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_19          4822.302       6925.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_20          5622.302       6925.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_21          6422.302       6925.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_22          1622.302       6125.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_23          2422.302       6125.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_24          3222.302       6125.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_25          4022.302       6125.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_26          4822.302       6125.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_27          5622.302       6125.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_28          6422.302       6125.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_29          1622.302       5325.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_30          2422.302       5325.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_31          3222.302       5325.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_32          4022.302       5325.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_33          4822.302       5325.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_34          5622.302       5325.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_35          6422.302       5325.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_36          1622.302       4525.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_37          2422.302       4525.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_38          3222.302       4525.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_39          4022.302       4525.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_40          4822.302       4525.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_41          5622.302       4525.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_42          6422.302       4525.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_43          1622.302       3725.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_44          2422.302       3725.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_45          3222.302       3725.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_46          4022.302       3725.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_47          4822.302       3725.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_48          5622.302       3725.879       1  0.0     1.0            800.000   1.0       0.0
 PMX1_49          6422.302       3725.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_50          1622.302       2925.879       1  0.0     1.0           1082.843   1.0       0.0
 PMX1_51          2422.302       2925.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_52          3222.302       2925.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_53          4022.302       2925.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_54          4822.302       2925.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_55          5622.302       2925.879       1  0.0     1.0            882.843   1.0       0.0
 PMX1_56          6422.302       2925.879       1  0.0     1.0           1082.843   1.0       0.0
