 point             x              y          zone  nugget  sill           a         hanis     bearing
 COMPMA7_1        1522.302       8725.879       1  0.0     1.0           1353.553   1.0       0.0
 COMPMA7_2        2522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA7_3        3522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA7_4        4522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA7_5        5522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA7_6        6522.302       8725.879       1  0.0     1.0           1353.553   1.0       0.0
 COMPMA7_7        1522.302       7725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA7_8        2522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_9        3522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_10       4522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_11       5522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_12       6522.302       7725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA7_13       1522.302       6725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA7_14       2522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_15       3522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_16       4522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_17       5522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_18       6522.302       6725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA7_19       1522.302       5725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA7_20       2522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_21       3522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_22       4522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_23       5522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_24       6522.302       5725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA7_25       1522.302       4725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA7_26       2522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_27       3522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_28       4522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_29       5522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_30       6522.302       4725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA7_31       1522.302       3725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA7_32       2522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_33       3522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_34       4522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_35       5522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA7_36       6522.302       3725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA7_37       1522.302       2725.879       1  0.0     1.0           1353.553   1.0       0.0
 COMPMA7_38       2522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA7_39       3522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA7_40       4522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA7_41       5522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA7_42       6522.302       2725.879       1  0.0     1.0           1353.553   1.0       0.0
