 point             x              y          zone  nugget  sill           a         hanis     bearing
 CS12_1           1522.302       8725.879       1  0.0     1.0           1353.553   1.0       0.0
 CS12_2           2522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 CS12_3           3522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 CS12_4           4522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 CS12_5           5522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 CS12_6           6522.302       8725.879       1  0.0     1.0           1353.553   1.0       0.0
 CS12_7           1522.302       7725.879       1  0.0     1.0           1103.553   1.0       0.0
 CS12_8           2522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_9           3522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_10          4522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_11          5522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_12          6522.302       7725.879       1  0.0     1.0           1103.553   1.0       0.0
 CS12_13          1522.302       6725.879       1  0.0     1.0           1103.553   1.0       0.0
 CS12_14          2522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_15          3522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_16          4522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_17          5522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_18          6522.302       6725.879       1  0.0     1.0           1103.553   1.0       0.0
 CS12_19          1522.302       5725.879       1  0.0     1.0           1103.553   1.0       0.0
 CS12_20          2522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_21          3522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_22          4522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_23          5522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_24          6522.302       5725.879       1  0.0     1.0           1103.553   1.0       0.0
 CS12_25          1522.302       4725.879       1  0.0     1.0           1103.553   1.0       0.0
 CS12_26          2522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_27          3522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_28          4522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_29          5522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_30          6522.302       4725.879       1  0.0     1.0           1103.553   1.0       0.0
 CS12_31          1522.302       3725.879       1  0.0     1.0           1103.553   1.0       0.0
 CS12_32          2522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_33          3522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_34          4522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_35          5522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 CS12_36          6522.302       3725.879       1  0.0     1.0           1103.553   1.0       0.0
 CS12_37          1522.302       2725.879       1  0.0     1.0           1353.553   1.0       0.0
 CS12_38          2522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 CS12_39          3522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 CS12_40          4522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 CS12_41          5522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 CS12_42          6522.302       2725.879       1  0.0     1.0           1353.553   1.0       0.0
