 point             x              y          zone  nugget  sill           a         hanis     bearing
 COMPMA11_1       1522.302       8725.879       1  0.0     1.0           1353.553   1.0       0.0
 COMPMA11_2       2522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA11_3       3522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA11_4       4522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA11_5       5522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA11_6       6522.302       8725.879       1  0.0     1.0           1353.553   1.0       0.0
 COMPMA11_7       1522.302       7725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA11_8       2522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_9       3522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_10      4522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_11      5522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_12      6522.302       7725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA11_13      1522.302       6725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA11_14      2522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_15      3522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_16      4522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_17      5522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_18      6522.302       6725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA11_19      1522.302       5725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA11_20      2522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_21      3522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_22      4522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_23      5522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_24      6522.302       5725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA11_25      1522.302       4725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA11_26      2522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_27      3522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_28      4522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_29      5522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_30      6522.302       4725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA11_31      1522.302       3725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA11_32      2522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_33      3522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_34      4522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_35      5522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 COMPMA11_36      6522.302       3725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA11_37      1522.302       2725.879       1  0.0     1.0           1353.553   1.0       0.0
 COMPMA11_38      2522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA11_39      3522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA11_40      4522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA11_41      5522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 COMPMA11_42      6522.302       2725.879       1  0.0     1.0           1353.553   1.0       0.0
