 point             x              y          zone  nugget  sill           a         hanis     bearing
 PMX13_1          1522.302       8725.879       1  0.0     1.0           1353.553   1.0       0.0
 PMX13_2          2522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 PMX13_3          3522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 PMX13_4          4522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 PMX13_5          5522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 PMX13_6          6522.302       8725.879       1  0.0     1.0           1353.553   1.0       0.0
 PMX13_7          1522.302       7725.879       1  0.0     1.0           1103.553   1.0       0.0
 PMX13_8          2522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_9          3522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_10         4522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_11         5522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_12         6522.302       7725.879       1  0.0     1.0           1103.553   1.0       0.0
 PMX13_13         1522.302       6725.879       1  0.0     1.0           1103.553   1.0       0.0
 PMX13_14         2522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_15         3522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_16         4522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_17         5522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_18         6522.302       6725.879       1  0.0     1.0           1103.553   1.0       0.0
 PMX13_19         1522.302       5725.879       1  0.0     1.0           1103.553   1.0       0.0
 PMX13_20         2522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_21         3522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_22         4522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_23         5522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_24         6522.302       5725.879       1  0.0     1.0           1103.553   1.0       0.0
 PMX13_25         1522.302       4725.879       1  0.0     1.0           1103.553   1.0       0.0
 PMX13_26         2522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_27         3522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_28         4522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_29         5522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_30         6522.302       4725.879       1  0.0     1.0           1103.553   1.0       0.0
 PMX13_31         1522.302       3725.879       1  0.0     1.0           1103.553   1.0       0.0
 PMX13_32         2522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_33         3522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_34         4522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_35         5522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 PMX13_36         6522.302       3725.879       1  0.0     1.0           1103.553   1.0       0.0
 PMX13_37         1522.302       2725.879       1  0.0     1.0           1353.553   1.0       0.0
 PMX13_38         2522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 PMX13_39         3522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 PMX13_40         4522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 PMX13_41         5522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 PMX13_42         6522.302       2725.879       1  0.0     1.0           1353.553   1.0       0.0
