 point             x              y          zone  nugget  sill           a         hanis     bearing
 3_1              1522.302       8725.879       1  0.0     1.0           1353.553   1.0       0.0
 3_2              2522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 3_3              3522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 3_4              4522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 3_5              5522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 3_6              6522.302       8725.879       1  0.0     1.0           1353.553   1.0       0.0
 3_7              1522.302       7725.879       1  0.0     1.0           1103.553   1.0       0.0
 3_8              2522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_9              3522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_10             4522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_11             5522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_12             6522.302       7725.879       1  0.0     1.0           1103.553   1.0       0.0
 3_13             1522.302       6725.879       1  0.0     1.0           1103.553   1.0       0.0
 3_14             2522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_15             3522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_16             4522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_17             5522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_18             6522.302       6725.879       1  0.0     1.0           1103.553   1.0       0.0
 3_19             1522.302       5725.879       1  0.0     1.0           1103.553   1.0       0.0
 3_20             2522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_21             3522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_22             4522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_23             5522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_24             6522.302       5725.879       1  0.0     1.0           1103.553   1.0       0.0
 3_25             1522.302       4725.879       1  0.0     1.0           1103.553   1.0       0.0
 3_26             2522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_27             3522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_28             4522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_29             5522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_30             6522.302       4725.879       1  0.0     1.0           1103.553   1.0       0.0
 3_31             1522.302       3725.879       1  0.0     1.0           1103.553   1.0       0.0
 3_32             2522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_33             3522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_34             4522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_35             5522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 3_36             6522.302       3725.879       1  0.0     1.0           1103.553   1.0       0.0
 3_37             1522.302       2725.879       1  0.0     1.0           1353.553   1.0       0.0
 3_38             2522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 3_39             3522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 3_40             4522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 3_41             5522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 3_42             6522.302       2725.879       1  0.0     1.0           1353.553   1.0       0.0
