 point             x              y          zone  nugget  sill           a         hanis     bearing
 SGA16_1          1522.302       8725.879       1  0.0     1.0           1353.553   1.0       0.0
 SGA16_2          2522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 SGA16_3          3522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 SGA16_4          4522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 SGA16_5          5522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 SGA16_6          6522.302       8725.879       1  0.0     1.0           1353.553   1.0       0.0
 SGA16_7          1522.302       7725.879       1  0.0     1.0           1103.553   1.0       0.0
 SGA16_8          2522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_9          3522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_10         4522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_11         5522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_12         6522.302       7725.879       1  0.0     1.0           1103.553   1.0       0.0
 SGA16_13         1522.302       6725.879       1  0.0     1.0           1103.553   1.0       0.0
 SGA16_14         2522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_15         3522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_16         4522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_17         5522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_18         6522.302       6725.879       1  0.0     1.0           1103.553   1.0       0.0
 SGA16_19         1522.302       5725.879       1  0.0     1.0           1103.553   1.0       0.0
 SGA16_20         2522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_21         3522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_22         4522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_23         5522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_24         6522.302       5725.879       1  0.0     1.0           1103.553   1.0       0.0
 SGA16_25         1522.302       4725.879       1  0.0     1.0           1103.553   1.0       0.0
 SGA16_26         2522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_27         3522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_28         4522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_29         5522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_30         6522.302       4725.879       1  0.0     1.0           1103.553   1.0       0.0
 SGA16_31         1522.302       3725.879       1  0.0     1.0           1103.553   1.0       0.0
 SGA16_32         2522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_33         3522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_34         4522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_35         5522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 SGA16_36         6522.302       3725.879       1  0.0     1.0           1103.553   1.0       0.0
 SGA16_37         1522.302       2725.879       1  0.0     1.0           1353.553   1.0       0.0
 SGA16_38         2522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 SGA16_39         3522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 SGA16_40         4522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 SGA16_41         5522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 SGA16_42         6522.302       2725.879       1  0.0     1.0           1353.553   1.0       0.0
