 point             x              y          zone  nugget  sill           a         hanis     bearing
 5_1              1522.302       8725.879       1  0.0     1.0           1353.553   1.0       0.0
 5_2              2522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 5_3              3522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 5_4              4522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 5_5              5522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 5_6              6522.302       8725.879       1  0.0     1.0           1353.553   1.0       0.0
 5_7              1522.302       7725.879       1  0.0     1.0           1103.553   1.0       0.0
 5_8              2522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_9              3522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_10             4522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_11             5522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_12             6522.302       7725.879       1  0.0     1.0           1103.553   1.0       0.0
 5_13             1522.302       6725.879       1  0.0     1.0           1103.553   1.0       0.0
 5_14             2522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_15             3522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_16             4522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_17             5522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_18             6522.302       6725.879       1  0.0     1.0           1103.553   1.0       0.0
 5_19             1522.302       5725.879       1  0.0     1.0           1103.553   1.0       0.0
 5_20             2522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_21             3522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_22             4522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_23             5522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_24             6522.302       5725.879       1  0.0     1.0           1103.553   1.0       0.0
 5_25             1522.302       4725.879       1  0.0     1.0           1103.553   1.0       0.0
 5_26             2522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_27             3522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_28             4522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_29             5522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_30             6522.302       4725.879       1  0.0     1.0           1103.553   1.0       0.0
 5_31             1522.302       3725.879       1  0.0     1.0           1103.553   1.0       0.0
 5_32             2522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_33             3522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_34             4522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_35             5522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 5_36             6522.302       3725.879       1  0.0     1.0           1103.553   1.0       0.0
 5_37             1522.302       2725.879       1  0.0     1.0           1353.553   1.0       0.0
 5_38             2522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 5_39             3522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 5_40             4522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 5_41             5522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 5_42             6522.302       2725.879       1  0.0     1.0           1353.553   1.0       0.0
