 point             x              y          zone  nugget  sill           a         hanis     bearing
 9_1              1522.302       8725.879       1  0.0     1.0           1353.553   1.0       0.0
 9_2              2522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 9_3              3522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 9_4              4522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 9_5              5522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 9_6              6522.302       8725.879       1  0.0     1.0           1353.553   1.0       0.0
 9_7              1522.302       7725.879       1  0.0     1.0           1103.553   1.0       0.0
 9_8              2522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_9              3522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_10             4522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_11             5522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_12             6522.302       7725.879       1  0.0     1.0           1103.553   1.0       0.0
 9_13             1522.302       6725.879       1  0.0     1.0           1103.553   1.0       0.0
 9_14             2522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_15             3522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_16             4522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_17             5522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_18             6522.302       6725.879       1  0.0     1.0           1103.553   1.0       0.0
 9_19             1522.302       5725.879       1  0.0     1.0           1103.553   1.0       0.0
 9_20             2522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_21             3522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_22             4522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_23             5522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_24             6522.302       5725.879       1  0.0     1.0           1103.553   1.0       0.0
 9_25             1522.302       4725.879       1  0.0     1.0           1103.553   1.0       0.0
 9_26             2522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_27             3522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_28             4522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_29             5522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_30             6522.302       4725.879       1  0.0     1.0           1103.553   1.0       0.0
 9_31             1522.302       3725.879       1  0.0     1.0           1103.553   1.0       0.0
 9_32             2522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_33             3522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_34             4522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_35             5522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 9_36             6522.302       3725.879       1  0.0     1.0           1103.553   1.0       0.0
 9_37             1522.302       2725.879       1  0.0     1.0           1353.553   1.0       0.0
 9_38             2522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 9_39             3522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 9_40             4522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 9_41             5522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 9_42             6522.302       2725.879       1  0.0     1.0           1353.553   1.0       0.0
