 point             x              y          zone  nugget  sill           a         hanis     bearing
 6_1              1522.302       8725.879       1  0.0     1.0           1353.553   1.0       0.0
 6_2              2522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 6_3              3522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 6_4              4522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 6_5              5522.302       8725.879       1  0.0     1.0           1103.553   1.0       0.0
 6_6              6522.302       8725.879       1  0.0     1.0           1353.553   1.0       0.0
 6_7              1522.302       7725.879       1  0.0     1.0           1103.553   1.0       0.0
 6_8              2522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_9              3522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_10             4522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_11             5522.302       7725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_12             6522.302       7725.879       1  0.0     1.0           1103.553   1.0       0.0
 6_13             1522.302       6725.879       1  0.0     1.0           1103.553   1.0       0.0
 6_14             2522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_15             3522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_16             4522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_17             5522.302       6725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_18             6522.302       6725.879       1  0.0     1.0           1103.553   1.0       0.0
 6_19             1522.302       5725.879       1  0.0     1.0           1103.553   1.0       0.0
 6_20             2522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_21             3522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_22             4522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_23             5522.302       5725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_24             6522.302       5725.879       1  0.0     1.0           1103.553   1.0       0.0
 6_25             1522.302       4725.879       1  0.0     1.0           1103.553   1.0       0.0
 6_26             2522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_27             3522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_28             4522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_29             5522.302       4725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_30             6522.302       4725.879       1  0.0     1.0           1103.553   1.0       0.0
 6_31             1522.302       3725.879       1  0.0     1.0           1103.553   1.0       0.0
 6_32             2522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_33             3522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_34             4522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_35             5522.302       3725.879       1  0.0     1.0           1000.000   1.0       0.0
 6_36             6522.302       3725.879       1  0.0     1.0           1103.553   1.0       0.0
 6_37             1522.302       2725.879       1  0.0     1.0           1353.553   1.0       0.0
 6_38             2522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 6_39             3522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 6_40             4522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 6_41             5522.302       2725.879       1  0.0     1.0           1103.553   1.0       0.0
 6_42             6522.302       2725.879       1  0.0     1.0           1353.553   1.0       0.0
